layer,channel,neuron_id,downstream_correct_count,downstream_total_activations,downstream_full_activation_count
conv8,100,conv8_100,751822,48853894,0
conv7,458,conv7_458,633917,210841098,0
conv2,69,conv2_69,825230,190894660,33
conv6,34,conv6_34,748361,231223304,0
conv8,79,conv8_79,639767,33176074,0
conv4,195,conv4_195,825110,383086247,0
conv4,25,conv4_25,824027,366110990,2
conv1,42,conv1_42,235028,27459641,517
conv8,349,conv8_349,701078,41879747,0
conv5,265,conv5_265,799606,360492802,0
conv1,19,conv1_19,122383,11489194,37
conv3,198,conv3_198,825225,197776193,23
conv8,111,conv8_111,764041,57281377,0
conv5,52,conv5_52,761277,313042232,0
conv7,14,conv7_14,452500,162207740,0
conv7,18,conv7_18,575609,217897779,0
conv6,332,conv6_332,709918,220670673,0
conv8,424,conv8_424,707917,43114456,0
conv8,363,conv8_363,673288,35965680,0
conv6,14,conv6_14,788507,248530883,0
conv5,261,conv5_261,823723,345771941,0
conv8,339,conv8_339,713964,43991699,0
conv1,11,conv1_11,824895,79286066,41
conv6,421,conv6_421,809267,243879990,0
conv6,490,conv6_490,740480,217676790,0
conv5,462,conv5_462,824511,374191712,17
conv4,37,conv4_37,825116,392025384,0
conv8,416,conv8_416,697191,39821074,0
conv2,120,conv2_120,825091,186337829,0
conv3,47,conv3_47,824658,186012606,0
conv3,140,conv3_140,825063,198119085,2
conv6,80,conv6_80,699932,207025554,0
conv5,222,conv5_222,824803,355375402,0
conv6,96,conv6_96,736164,225925343,0
conv6,427,conv6_427,786310,227053119,0
conv7,86,conv7_86,478687,178354091,0
conv4,67,conv4_67,825215,393340866,1
conv7,160,conv7_160,594907,218048197,0
conv6,412,conv6_412,808633,248276144,0
conv8,7,conv8_7,579383,25302283,0
conv7,276,conv7_276,496459,179125523,0
conv8,161,conv8_161,662448,33667732,0
conv8,376,conv8_376,766319,49917834,0
conv7,36,conv7_36,586921,214676685,0
conv5,422,conv5_422,818039,344679268,0
conv6,497,conv6_497,770815,239964441,0
conv8,119,conv8_119,717352,41747381,0
conv4,240,conv4_240,825072,389892661,3
conv5,484,conv5_484,790461,341866004,0
conv7,395,conv7_395,545438,188794960,0
conv8,327,conv8_327,651754,32289241,0
conv8,262,conv8_262,560590,28187940,0
conv6,131,conv6_131,802812,255262275,0
conv8,270,conv8_270,712623,40856820,0
conv5,463,conv5_463,824740,369560949,0
conv5,38,conv5_38,816156,358100999,3
conv7,435,conv7_435,538419,199503001,0
conv3,215,conv3_215,824337,192213060,2
conv5,220,conv5_220,824939,369779307,5
conv5,257,conv5_257,802647,357585613,0
conv6,478,conv6_478,802751,254289300,0
conv1,61,conv1_61,37724,3626393,52
conv7,148,conv7_148,579946,217457971,0
conv8,295,conv8_295,655741,35486826,0
conv7,470,conv7_470,606341,216421767,0
conv8,317,conv8_317,620289,35640083,0
conv6,267,conv6_267,760479,233691393,0
conv8,75,conv8_75,642064,34463987,0
conv6,143,conv6_143,717533,222235797,0
conv7,331,conv7_331,592098,224367608,0
conv5,179,conv5_179,815465,356812484,0
conv2,45,conv2_45,825230,198409882,57
conv8,89,conv8_89,678904,34342422,0
conv5,29,conv5_29,821682,348630013,1
conv8,223,conv8_223,688033,37911912,0
conv3,228,conv3_228,825230,199586807,2
conv2,29,conv2_29,825229,202775652,10
conv2,108,conv2_108,825230,198684247,18
conv8,462,conv8_462,625053,27998774,0
conv2,73,conv2_73,825220,202646349,53
conv4,167,conv4_167,825120,380616170,0
conv5,177,conv5_177,780904,344210779,0
conv3,192,conv3_192,825209,189714593,0
conv6,360,conv6_360,771187,235589254,0
conv1,7,conv1_7,156861,18134055,475
conv5,436,conv5_436,819504,338351868,0
conv6,335,conv6_335,775784,244453247,0
conv5,245,conv5_245,825089,366525192,9
conv5,93,conv5_93,824426,366257729,0
conv5,55,conv5_55,807081,331898570,0
conv7,409,conv7_409,512973,186069231,0
conv5,165,conv5_165,809403,357209492,1
conv8,49,conv8_49,750203,43650979,0
conv5,339,conv5_339,804632,363580750,0
conv3,137,conv3_137,825203,206813384,5461
conv5,365,conv5_365,804542,353534118,1
conv6,447,conv6_447,755223,232109795,0
conv2,67,conv2_67,825224,200276821,83
conv5,246,conv5_246,789471,326246625,0
conv7,111,conv7_111,452325,170559564,0
conv5,328,conv5_328,819916,341964681,0
conv7,120,conv7_120,590495,214641183,0
conv4,33,conv4_33,825112,395282085,0
conv6,293,conv6_293,753411,229813893,0
conv6,92,conv6_92,721331,218155200,0
conv7,277,conv7_277,643516,242547140,0
conv6,348,conv6_348,775420,245570903,0
conv6,18,conv6_18,805804,245935927,0
conv8,116,conv8_116,660330,40858367,0
conv7,379,conv7_379,619651,219761354,0
conv2,127,conv2_127,825230,200888413,34
conv8,289,conv8_289,713531,42285041,0
conv8,456,conv8_456,661525,42374284,0
conv6,414,conv6_414,747578,209171896,0
conv7,414,conv7_414,634615,241542310,0
conv8,158,conv8_158,688401,38263157,0
conv8,296,conv8_296,597413,25317693,0
conv7,359,conv7_359,546408,206813624,0
conv5,395,conv5_395,822811,356187582,0
conv8,352,conv8_352,724629,50173511,0
conv8,151,conv8_151,752368,46731774,0
conv7,87,conv7_87,559101,204066109,0
conv5,234,conv5_234,824934,364950996,0
conv5,83,conv5_83,772047,322065498,0
conv8,429,conv8_429,566806,28648248,0
conv4,103,conv4_103,825164,387521617,13
conv3,185,conv3_185,825225,201810181,1
conv7,81,conv7_81,654178,239642307,0
conv5,214,conv5_214,823505,372413206,0
conv5,213,conv5_213,818641,342581965,0
conv8,290,conv8_290,713221,45377017,0
conv4,49,conv4_49,825166,379835254,5
