layer,channel,neuron_id,downstream_correct_count,downstream_total_activations,downstream_full_activation_count
conv7,324,conv7_324,534298,195690602,0
conv3,72,conv3_72,825224,199254401,8
conv5,92,conv5_92,824663,348341249,0
conv5,508,conv5_508,824383,373978917,0
conv8,271,conv8_271,680935,40665461,0
conv6,321,conv6_321,790960,250347397,0
conv6,27,conv6_27,784126,243532192,0
conv4,143,conv4_143,825118,391768328,0
conv7,340,conv7_340,602143,217664974,0
conv5,124,conv5_124,822966,358583914,1
conv6,424,conv6_424,771104,226396122,0
conv5,496,conv5_496,824813,378352398,37
conv7,244,conv7_244,541502,196379662,0
conv7,63,conv7_63,535461,197416287,1
conv5,23,conv5_23,819348,355341090,0
conv7,396,conv7_396,825021,314799642,0
conv4,243,conv4_243,825200,389916725,0
conv6,215,conv6_215,780521,236738350,0
conv3,8,conv3_8,825227,192881969,163
conv8,408,conv8_408,591178,29454500,0
conv7,28,conv7_28,507623,184673570,0
conv7,206,conv7_206,587158,219758055,1
conv5,356,conv5_356,808677,360189241,0
conv2,52,conv2_52,825229,185938337,175
conv4,73,conv4_73,825223,400139798,1
conv6,373,conv6_373,788210,246834753,0
conv6,152,conv6_152,793751,247065335,0
conv4,221,conv4_221,821221,379699807,0
conv6,469,conv6_469,795691,254271489,0
conv4,55,conv4_55,825218,396779137,0
conv6,9,conv6_9,704864,213144095,0
conv2,7,conv2_7,825230,200465031,14
conv5,182,conv5_182,825065,376015287,2
conv8,73,conv8_73,706036,41268569,0
conv5,389,conv5_389,738150,308122552,0
conv7,292,conv7_292,577582,215019666,0
conv4,208,conv4_208,825182,382566730,0
conv6,467,conv6_467,760325,232533803,0
conv5,212,conv5_212,791532,340933738,1
conv6,472,conv6_472,776585,228702481,0
conv6,69,conv6_69,796467,246544859,0
conv2,1,conv2_1,825191,189725679,0
conv2,113,conv2_113,825230,194531394,14
conv8,62,conv8_62,634598,34031378,0
conv3,21,conv3_21,825230,200153204,41
conv6,461,conv6_461,788776,239125708,0
conv8,423,conv8_423,616547,36927530,0
conv7,453,conv7_453,591004,216276134,0
conv8,249,conv8_249,666936,35465024,0
conv5,410,conv5_410,825121,374822661,3
conv7,140,conv7_140,672788,223404439,0
conv7,347,conv7_347,508306,191998932,0
conv6,491,conv6_491,748901,237303126,0
conv3,2,conv3_2,825228,202487128,53
conv4,56,conv4_56,825095,390986262,0
conv5,229,conv5_229,819323,368053424,2
conv7,450,conv7_450,506198,178714597,0
conv6,500,conv6_500,798270,250385415,0
conv6,305,conv6_305,775421,242858255,0
conv6,451,conv6_451,809346,252950259,0
conv7,27,conv7_27,590884,213836118,0
conv3,51,conv3_51,825183,196134685,9
conv5,228,conv5_228,819018,362971981,0
conv8,4,conv8_4,688100,38192777,0
conv8,167,conv8_167,632725,32117475,0
conv5,133,conv5_133,810763,346645607,20
conv6,379,conv6_379,785248,249695258,0
conv8,482,conv8_482,690329,41989925,0
conv1,18,conv1_18,825220,82375050,100
conv6,24,conv6_24,716911,225815533,0
conv6,226,conv6_226,786196,242708736,0
conv3,229,conv3_229,825230,202677785,9
conv5,63,conv5_63,806515,329060207,0
conv6,151,conv6_151,770164,233282445,0
conv5,424,conv5_424,820611,366126804,0
conv8,341,conv8_341,649951,31799299,0
conv4,97,conv4_97,825161,390237484,1
conv7,314,conv7_314,524189,186829838,0
conv6,333,conv6_333,755931,230483491,0
conv5,233,conv5_233,808469,340744228,0
conv6,341,conv6_341,775972,233824921,0
conv8,191,conv8_191,604034,30793558,0
conv8,355,conv8_355,723740,44262284,0
conv4,181,conv4_181,823326,366820872,3
conv7,136,conv7_136,445735,171819857,0
conv6,62,conv6_62,798719,235807875,0
conv8,67,conv8_67,614764,34701735,0
conv8,38,conv8_38,630332,38030115,0
conv7,13,conv7_13,434773,164670338,0
conv8,394,conv8_394,627393,29353035,0
conv4,92,conv4_92,824836,388109077,0
conv6,47,conv6_47,798071,246784612,0
conv7,439,conv7_439,671314,259043651,0
conv6,294,conv6_294,769359,241853453,0
conv8,311,conv8_311,568786,25665992,0
conv7,163,conv7_163,675957,244379791,0
conv6,220,conv6_220,781364,235694366,0
conv5,260,conv5_260,824273,371658574,0
conv4,127,conv4_127,824835,383774802,0
conv5,366,conv5_366,821766,365396118,0
conv6,480,conv6_480,762094,233527072,0
conv8,406,conv8_406,624980,29855071,0
conv6,194,conv6_194,741195,227790835,0
conv4,158,conv4_158,824600,369489917,42
conv7,375,conv7_375,456184,167815919,0
conv5,509,conv5_509,815103,354867781,1
conv5,152,conv5_152,824820,376929902,1
conv6,241,conv6_241,823925,190021526,0
conv6,245,conv6_245,780831,242354380,0
conv5,266,conv5_266,824635,370058059,0
conv5,486,conv5_486,822467,365519697,3
conv4,10,conv4_10,824377,362602505,0
conv1,23,conv1_23,825178,77737247,84
conv6,134,conv6_134,748186,221253150,0
conv8,23,conv8_23,692642,36147307,0
conv8,19,conv8_19,769114,56280809,0
conv4,94,conv4_94,825227,377746706,0
conv3,244,conv3_244,825090,174473721,0
conv4,107,conv4_107,824607,371865984,1
conv1,9,conv1_9,825230,97690406,739
conv7,485,conv7_485,558410,198795503,0
conv8,27,conv8_27,665729,34405401,0
conv6,58,conv6_58,752933,231291977,0
conv6,205,conv6_205,784858,250193970,0
conv6,107,conv6_107,747405,227239358,0
conv6,190,conv6_190,701518,214009478,0
conv7,501,conv7_501,553644,206963386,0
conv8,478,conv8_478,557462,28870793,0
conv2,44,conv2_44,825230,195739411,103
conv5,108,conv5_108,818951,351663149,0
conv2,17,conv2_17,825229,197888332,0
conv3,101,conv3_101,825221,203089055,122
conv6,505,conv6_505,787499,253433650,0
conv5,374,conv5_374,811984,334943138,0
conv8,277,conv8_277,664356,38789509,0
conv5,481,conv5_481,825178,371187643,0
conv5,164,conv5_164,782160,323432860,0
conv3,112,conv3_112,825124,190490161,11
conv7,452,conv7_452,529579,174173326,0
conv6,115,conv6_115,720625,219219602,0
conv8,96,conv8_96,621694,34400610,0
conv5,363,conv5_363,823211,373394587,0
conv8,430,conv8_430,651324,38311219,0
conv7,265,conv7_265,695053,246349461,0
conv7,216,conv7_216,679179,243630875,0
conv6,41,conv6_41,781667,246079007,0
conv7,235,conv7_235,548848,197081398,0
conv7,243,conv7_243,696950,256374544,0
conv6,219,conv6_219,723317,228200879,0
conv8,426,conv8_426,695239,42089130,0
conv8,209,conv8_209,712761,37414473,0
conv1,3,conv1_3,825230,100726448,1038
conv7,30,conv7_30,566654,213537279,0
conv6,266,conv6_266,796252,250943191,0
conv7,161,conv7_161,534434,195327053,0
conv7,360,conv7_360,695575,242762914,0
conv8,467,conv8_467,631586,31966550,0
conv5,250,conv5_250,825134,373211365,0
conv4,187,conv4_187,824865,388787699,0
conv6,125,conv6_125,778216,237982527,0
conv3,196,conv3_196,825223,202539349,22
conv5,11,conv5_11,820425,363473620,46
conv5,372,conv5_372,823243,374944043,1
conv8,390,conv8_390,596013,22237982,0
conv3,205,conv3_205,814823,170949172,45
conv7,105,conv7_105,546027,202541829,0
conv4,130,conv4_130,825102,390119971,0
conv4,31,conv4_31,825206,391428708,0
conv3,235,conv3_235,824736,195986356,22
conv6,458,conv6_458,757540,231015371,0
conv3,243,conv3_243,825224,197449939,94
conv4,100,conv4_100,824904,380650276,0
conv7,205,conv7_205,577626,205017612,0
conv8,136,conv8_136,705364,41991342,0
conv4,174,conv4_174,822957,388553492,2
conv4,147,conv4_147,825192,388078850,0
conv8,74,conv8_74,752273,56160137,0
conv6,118,conv6_118,796646,254064121,0
conv7,278,conv7_278,552828,202274666,0
conv7,154,conv7_154,591898,213869148,0
conv8,335,conv8_335,678450,32570012,0
conv5,146,conv5_146,803549,357348964,6
conv3,110,conv3_110,825229,207337878,2341
conv8,400,conv8_400,679116,32264162,0
conv7,94,conv7_94,642643,234139325,0
conv6,460,conv6_460,776561,244574140,0
conv7,499,conv7_499,509744,179023780,0
conv6,473,conv6_473,804368,255835655,0
conv5,185,conv5_185,824339,360709643,0
conv7,61,conv7_61,629252,229301745,0
conv1,41,conv1_41,774220,75015734,157
conv6,270,conv6_270,798492,255583398,0
conv7,228,conv7_228,549506,201842081,0
conv3,178,conv3_178,825218,203383379,1
conv1,14,conv1_14,824882,84262416,1
conv6,229,conv6_229,773807,245953118,0
conv6,0,conv6_0,715533,223081477,0
conv3,27,conv3_27,825220,198933539,1
conv7,99,conv7_99,515289,187134839,1
conv5,252,conv5_252,825118,372188793,42
conv2,56,conv2_56,825227,186022543,13
conv6,463,conv6_463,793138,253032132,0
conv4,54,conv4_54,824615,383333416,0
conv6,495,conv6_495,781095,244371308,0
conv7,287,conv7_287,625024,231345286,0
conv2,62,conv2_62,825228,202419374,36
conv7,320,conv7_320,528602,194109797,0
conv5,208,conv5_208,820315,368989245,0
conv6,1,conv6_1,793084,243526194,0
conv3,38,conv3_38,825106,189170755,6
conv8,138,conv8_138,686203,36703125,0
conv4,118,conv4_118,824060,332853363,14
conv2,79,conv2_79,825156,192631893,0
conv2,106,conv2_106,825184,188146284,24
conv7,38,conv7_38,496930,183477880,0
conv8,365,conv8_365,655725,33615834,0
conv5,47,conv5_47,811280,355388160,0
conv6,193,conv6_193,731480,227899505,0
conv6,5,conv6_5,782836,239667207,0
conv6,280,conv6_280,799777,255086634,0
conv5,238,conv5_238,824927,378137306,0
conv8,256,conv8_256,631991,34173888,0
conv1,0,conv1_0,825230,103668621,169185
conv6,449,conv6_449,778720,247719050,0
conv6,358,conv6_358,744021,235328883,0
conv8,402,conv8_402,679339,36754725,0
conv8,163,conv8_163,744621,52818289,0
conv7,229,conv7_229,571084,211877960,0
conv8,344,conv8_344,735528,49192230,0
conv5,73,conv5_73,819675,357530820,2
conv8,105,conv8_105,703085,42928445,0
conv7,284,conv7_284,645288,229526899,0
conv6,65,conv6_65,781041,240989850,0
conv6,22,conv6_22,768895,231471122,0
conv5,457,conv5_457,821567,365988067,0
conv8,385,conv8_385,660905,36646413,0
conv2,35,conv2_35,825230,202040355,1
conv8,33,conv8_33,685494,42531681,0
conv1,2,conv1_2,824653,85616312,0
conv6,316,conv6_316,776076,236983106,0
conv5,201,conv5_201,816621,354832294,0
conv8,486,conv8_486,730729,45746266,0
conv5,313,conv5_313,824463,366315930,0
conv6,117,conv6_117,783318,236833991,0
conv5,153,conv5_153,824667,361827891,0
conv8,329,conv8_329,659297,34249158,0
conv8,342,conv8_342,671951,37615348,0
conv7,210,conv7_210,567293,216749795,0
conv8,393,conv8_393,653924,36332606,0
conv4,57,conv4_57,825215,383430938,0
conv8,280,conv8_280,664241,40262258,0
conv6,386,conv6_386,804778,246878024,0
conv4,140,conv4_140,825208,379564354,0
conv3,56,conv3_56,825229,199667887,67
conv4,65,conv4_65,825142,389968018,0
conv7,158,conv7_158,537291,202471316,0
conv8,65,conv8_65,636770,34818527,0
conv2,101,conv2_101,825222,200359430,0
conv7,463,conv7_463,686875,259788434,0
conv7,141,conv7_141,561317,206576480,0
conv6,259,conv6_259,740781,219949310,0
conv8,404,conv8_404,703003,45758941,0
conv5,414,conv5_414,807599,340407083,0
conv4,153,conv4_153,825220,383631642,1
conv4,206,conv4_206,825145,389679522,0
conv2,86,conv2_86,825230,200987798,26
conv3,107,conv3_107,825190,196582812,1
conv4,209,conv4_209,824487,366486851,0
conv7,215,conv7_215,557233,203670233,0
conv2,89,conv2_89,825230,199441718,43
conv3,61,conv3_61,825221,198445422,72
conv5,323,conv5_323,825199,372662575,36
conv7,444,conv7_444,537273,193665130,0
conv5,467,conv5_467,823984,372993848,1
conv7,456,conv7_456,632980,220885827,0
conv1,33,conv1_33,824649,85433467,39
conv5,335,conv5_335,823894,375396341,0
conv7,436,conv7_436,596577,200774031,0
conv8,202,conv8_202,775480,57870628,0
conv3,253,conv3_253,823567,190810786,0
conv8,126,conv8_126,612488,27817906,0
conv8,253,conv8_253,676872,39956478,0
conv7,114,conv7_114,576185,220495557,0
conv5,169,conv5_169,814465,364602144,1
conv8,469,conv8_469,688877,40737921,0
conv5,341,conv5_341,824287,363043504,0
conv5,168,conv5_168,824673,370737169,8
conv3,162,conv3_162,825069,187450126,14
conv6,390,conv6_390,803431,253363573,0
conv4,70,conv4_70,824913,388102865,0
conv8,309,conv8_309,718262,43856853,0
conv4,99,conv4_99,825218,388868590,0
conv8,307,conv8_307,624358,34348261,0
conv4,254,conv4_254,824465,378020918,0
conv1,5,conv1_5,825230,102307472,15972
conv6,72,conv6_72,778124,234379650,0
conv7,316,conv7_316,622436,234000097,0
conv8,39,conv8_39,641918,20303809,0
conv3,227,conv3_227,825136,197622474,30
conv7,90,conv7_90,588429,209106593,0
conv3,67,conv3_67,808671,176077562,8
conv5,0,conv5_0,816574,342003835,0
conv3,219,conv3_219,825196,192584848,16
conv2,124,conv2_124,825230,188287230,0
conv8,377,conv8_377,685368,33386264,0
conv8,330,conv8_330,753606,56897490,0
conv5,466,conv5_466,825142,376355845,0
conv4,126,conv4_126,825073,372739946,7
conv2,71,conv2_71,825009,182903940,1
conv3,93,conv3_93,824804,180341241,70
conv6,383,conv6_383,802197,253615240,0
conv4,3,conv4_3,825089,388063904,3
conv7,121,conv7_121,575288,211886195,0
conv6,256,conv6_256,672102,202759657,0
conv3,40,conv3_40,825220,197503430,16
conv7,20,conv7_20,467806,171781521,0
conv7,342,conv7_342,582814,213954389,0
conv2,97,conv2_97,823972,177224787,0
conv7,299,conv7_299,546754,198594418,0
conv8,183,conv8_183,586200,31831785,0
conv7,402,conv7_402,479139,178627310,0
conv6,452,conv6_452,789458,254236063,0
conv3,4,conv3_4,825136,192684884,6
conv4,90,conv4_90,825118,392659912,15
conv2,70,conv2_70,825223,195743408,9
conv6,309,conv6_309,798849,253306425,0
conv5,483,conv5_483,816934,350837864,0
conv8,44,conv8_44,646960,38922382,0
conv8,186,conv8_186,628005,29723281,0
conv6,48,conv6_48,735062,232624029,0
conv6,406,conv6_406,788263,249348360,0
conv7,343,conv7_343,573020,219371597,0
conv5,425,conv5_425,823771,372757621,21
conv6,158,conv6_158,703185,210337987,0
conv6,284,conv6_284,699800,213516131,0
conv1,12,conv1_12,825230,92830908,187
conv8,258,conv8_258,696871,40307663,0
conv6,489,conv6_489,779545,239571784,0
conv8,63,conv8_63,710925,39962193,0
conv5,188,conv5_188,824511,365355899,2
conv6,85,conv6_85,783847,232910720,0
conv7,137,conv7_137,517221,191426435,0
conv8,156,conv8_156,575828,27429350,0
conv2,5,conv2_5,825128,194560696,108
conv6,301,conv6_301,754729,231893807,0
conv3,223,conv3_223,824544,183457714,1
conv4,149,conv4_149,824588,371858767,0
conv7,443,conv7_443,644274,235103752,0
conv6,337,conv6_337,710390,206685452,0
conv8,443,conv8_443,674752,41369324,0
conv8,511,conv8_511,582499,29762445,0
conv8,131,conv8_131,603090,26852297,0
conv4,156,conv4_156,823443,371039327,0
conv6,83,conv6_83,764165,236974175,0
conv5,306,conv5_306,818034,369646811,0
conv3,76,conv3_76,825229,196446239,206
conv4,120,conv4_120,824713,382805302,0
conv1,28,conv1_28,824971,83788016,78
conv5,398,conv5_398,814719,341987485,0
conv7,303,conv7_303,507944,189446613,0
conv8,433,conv8_433,685240,41336947,0
conv6,159,conv6_159,765041,228058882,0
conv3,136,conv3_136,825229,195791579,0
conv8,70,conv8_70,747767,49740977,0
conv1,60,conv1_60,80144,8498953,48
conv1,15,conv1_15,821638,82514527,0
conv5,254,conv5_254,824414,378023318,0
conv2,61,conv2_61,825175,184300127,0
conv6,46,conv6_46,780632,240135447,0
conv2,110,conv2_110,825229,181484317,0
conv4,180,conv4_180,824978,389706185,0
conv8,320,conv8_320,638753,40928767,0
conv7,237,conv7_237,488319,177093931,0
conv3,7,conv3_7,825046,182680446,2
conv7,341,conv7_341,604150,204382235,0
conv5,267,conv5_267,824941,373521521,0
conv8,323,conv8_323,712696,36723510,0
conv6,372,conv6_372,777983,229838238,0
conv6,129,conv6_129,595708,160929393,0
conv5,307,conv5_307,804581,339114549,8
conv3,97,conv3_97,825225,200707769,8
conv7,55,conv7_55,605784,216543691,0
conv3,116,conv3_116,825187,197864173,0
conv5,232,conv5_232,821930,354949597,0
conv3,233,conv3_233,825221,205481904,97
conv7,425,conv7_425,525837,201801386,0
conv6,86,conv6_86,794787,258749308,0
conv2,126,conv2_126,825230,202789333,1149
conv2,64,conv2_64,825168,196530817,0
conv8,338,conv8_338,659340,35365964,0
conv6,368,conv6_368,695090,202773452,0
conv3,34,conv3_34,825218,202541626,18
conv7,112,conv7_112,566048,211851022,0
conv5,48,conv5_48,798124,344071604,0
conv7,509,conv7_509,633862,231374634,0
conv3,103,conv3_103,825230,195677257,51
conv8,436,conv8_436,671155,32364542,0
conv8,438,conv8_438,620972,27670604,0
conv8,308,conv8_308,724885,51113326,0
conv5,498,conv5_498,815286,351677425,0
conv5,160,conv5_160,823975,349382328,0
conv7,421,conv7_421,576850,204589864,0
conv6,178,conv6_178,752053,233147759,0
conv5,219,conv5_219,824813,370828596,0
conv5,195,conv5_195,824577,372087337,0
conv7,172,conv7_172,582232,201642272,0
conv4,218,conv4_218,825119,383258256,0
conv5,102,conv5_102,824285,369224392,6
conv3,182,conv3_182,825224,202836581,0
conv8,395,conv8_395,681979,39084241,0
conv4,194,conv4_194,824811,382315583,0
conv5,65,conv5_65,824579,366363323,0
conv7,85,conv7_85,605840,220805752,0
conv8,179,conv8_179,694128,32670277,0
conv6,209,conv6_209,760323,225964229,0
conv5,357,conv5_357,825124,373371156,0
conv7,95,conv7_95,518694,187915659,0
conv8,268,conv8_268,601945,35186873,0
conv7,212,conv7_212,655866,238836474,0
conv7,11,conv7_11,559666,200747444,0
conv8,499,conv8_499,639114,41603307,0
conv5,279,conv5_279,814667,358621495,1
conv6,510,conv6_510,805250,254250930,0
conv8,91,conv8_91,640906,38227515,0
conv4,21,conv4_21,825147,375827460,0
conv5,355,conv5_355,823276,362757631,1
conv4,110,conv4_110,825222,395354540,0
conv7,354,conv7_354,572033,211477597,0
conv5,485,conv5_485,824998,357132437,1
conv8,357,conv8_357,729812,43709992,0
conv3,17,conv3_17,825188,201575055,1
conv5,299,conv5_299,824176,360360989,0
conv8,453,conv8_453,621043,32527605,0
conv6,468,conv6_468,754078,239844436,0
conv5,270,conv5_270,807808,354706019,0
conv8,178,conv8_178,701892,45607453,0
conv8,127,conv8_127,574713,25705413,0
conv5,361,conv5_361,774109,321116172,0
conv5,77,conv5_77,819119,361676790,0
conv7,89,conv7_89,623486,209846460,0
conv5,9,conv5_9,822095,373104721,17
conv8,220,conv8_220,601034,32023303,0
conv7,440,conv7_440,628061,233609163,0
conv6,116,conv6_116,755486,233773783,0
conv5,387,conv5_387,823947,365883769,0
conv3,138,conv3_138,825226,205706260,0
conv5,370,conv5_370,823884,332994894,0
conv5,401,conv5_401,813583,356985987,0
conv6,255,conv6_255,772854,241208793,0
conv7,394,conv7_394,574024,202573414,0
conv5,8,conv5_8,825204,368374021,0
conv3,43,conv3_43,825224,205327032,1670
conv3,189,conv3_189,825230,201821680,0
conv8,93,conv8_93,720895,45594096,0
conv4,101,conv4_101,824982,377988105,0
conv4,23,conv4_23,825213,397183358,0
conv6,130,conv6_130,808060,251326526,0
conv1,27,conv1_27,825197,76821514,16
conv3,152,conv3_152,808156,173423315,11
conv6,387,conv6_387,778974,246351903,0
conv8,367,conv8_367,720103,45515697,0
conv7,385,conv7_385,501610,185867982,0
conv8,375,conv8_375,625803,29473051,0
conv7,219,conv7_219,563637,205617926,0
conv7,146,conv7_146,569100,217279858,0
conv6,263,conv6_263,770323,239774077,0
conv6,2,conv6_2,756256,233610495,0
conv5,173,conv5_173,820743,351777107,0
conv5,112,conv5_112,825107,376708952,11
conv8,350,conv8_350,573249,29318754,0
conv3,183,conv3_183,825228,194468696,0
conv7,211,conv7_211,481509,182683985,0
conv6,141,conv6_141,769980,241378315,0
conv7,101,conv7_101,526468,195375867,0
conv5,94,conv5_94,816363,354406358,0
conv8,85,conv8_85,630805,30207729,0
conv7,187,conv7_187,465969,172289347,0
conv6,133,conv6_133,798620,243977111,0
conv5,288,conv5_288,820693,367990388,0
conv8,86,conv8_86,695213,38820466,0
conv8,92,conv8_92,668561,34142437,0
conv2,6,conv2_6,825227,202509919,95
conv4,105,conv4_105,825209,395369694,0
conv2,51,conv2_51,825219,190178736,0
conv6,173,conv6_173,775566,237213326,0
conv7,313,conv7_313,700460,243924780,0
conv1,55,conv1_55,825167,95786605,169
